id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_bidan,satuan,tahun
76,32,JAWA BARAT,3274,KOTA CIREBON,442,ORANG,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,232,ORANG,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,769,ORANG,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,264,ORANG,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,311,ORANG,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,159,ORANG,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,1378,ORANG,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1311,ORANG,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1332,ORANG,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,811,ORANG,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,1323,ORANG,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1123,ORANG,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,760,ORANG,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,906,ORANG,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,1423,ORANG,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,898,ORANG,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,726,ORANG,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,792,ORANG,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,951,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,421,ORANG,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1432,ORANG,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,904,ORANG,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,633,ORANG,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,370,ORANG,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,593,ORANG,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,346,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,855,ORANG,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,443,ORANG,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,664,ORANG,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,631,ORANG,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,199,ORANG,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,409,ORANG,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,116,ORANG,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,1748,ORANG,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1411,ORANG,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1117,ORANG,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2007,ORANG,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,1445,ORANG,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1210,ORANG,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,725,ORANG,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,961,ORANG,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,1550,ORANG,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,552,ORANG,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,728,ORANG,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1011,ORANG,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,805,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,612,ORANG,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1516,ORANG,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,1623,ORANG,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,638,ORANG,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,377,ORANG,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,607,ORANG,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,317,ORANG,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,878,ORANG,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,494,ORANG,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,997,ORANG,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,568,ORANG,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,552,ORANG,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,638,ORANG,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,176,ORANG,2020
